Measurements,0
Body length,Body Length From HPS
Chest width,Body Width Seam to Seam
Front bust width,Body Front 5 inches Below HPS
,Body Back 5 inches Below HPS
,Body Chest  1 inches Below Armhole
@24 Waist width,Body Waist 18 7/8 inches below HPS
@24 Hem width,Body Sweep
@31 Hem length,Body Trim Height Jersey Tubular
Back neck width,Neck Width  Seam to Seam
Front neck drop (to linkline),Neck FT Neck Drop to seam
Back neck drop ,Neck BK Neck Drop to seam
Collar height,Neck Trim Height 1x1 rib
Straight A. H.,Sleeve Armhole Straight
Sleeve length,Sleeve Sleeve Length Shoulder seam to cuff
@46 Sleeve width,Sleeve Bicep 1 inch below armhole
@47 Cuff width,Sleeve Opening at rib edge
@32 Cuff length,Sleeve Trim Height 1x1 rib